hanzi	pinyin	pos	hsk30	translation
做法	zuòfǎ	N	2	способ действия; метод; рецепт
做饭	zuòfàn		2	готовить пищу, стряпать; готовить рис
按	àn	V/Prep	3	нажимать; согласно, по
白菜	báicài	N	3	капуста китайская
班级	bānjí	N	3	класс (в школе); группа
搬家	bānjiā		3	переезжать на другую квартиру, переселяться
板	bǎn	N	3	доска; дощечка; дощатый
保	bǎo	V	3	защищать, охранять; предохранять
保安	bǎoān	N	3	охранник; охрана
报	bào	N	3	газета; сообщать; докладывать
北部	běibù	N	3	север; северная часть; северный район
背后	bèihòu	N	3	за спиной; позади; тайно
变为	biànwéi		3	превращаться в; становиться
并	bìng	Adv/Conj/V	3	и, к тому же; вовсе (не); объединять
播出	bōchū		3	передавать, транслировать
不论	bùlùn	Conj	3	всё равно, какой бы ни..., что бы ни…
补	bǔ	V	3	латать, штопать; чинить, ремонтировать
不光	bùguāng	Adv/Conj	3	не только
步	bù	N/M	3	шаг; этап
部	bù	N/M	3	часть; отдел; министерство; сч. слово для фильмов
部长	bùzhǎng	N	3	министр; начальник отдела
才能	cáinéng	N	3	способности; одарённость, талантливость
采用	cǎiyòng	V	3	применять; внедрять; пользоваться
彩色	cǎisè	N	3	разноцветный, цветной; пёстрый
长处	chángchù	N	3	положительные стороны, плюсы
长期	chángqī	N	3	длительный срок; долгосрочный
厂	chǎng	N	3	завод; фабрика; мастерская; склад
衬衣	chènyī	N	3	рубашка
称为	chēngwéi		3	называться, именоваться, быть названным
城	chéng	N	3	город; городская стена
初	chū	Adv/Prefix	3	начало; начальный; впервые
初一	chūyī	N	3	первый класс средней школы; первое число
初中	chūzhōng	N	3	неполная средняя школа
传	chuán	V	3	передавать; сообщать; распространять
传来	chuánlái		3	долетать, доноситься; доходить
村	cūn	N	3	деревня, село, поселение, населённый пункт
打破	dǎpò		3	разбить; сломать; порвать; проломить
代	dài	V/N	3	заменять; поколение; эпоха
代表团	dàibiǎotuán	N	3	делегация, миссия; представительство
带动	dàidòng	V	3	привести в движение
当中	dāngzhōng	N	3	середина; на середине, посреди, в центре
得分	défēn	V/N	3	выиграть очко, набрать очко
底下	dǐxia	N	3	низ, внизу; ниже, под; низший, следующий
电视剧	diànshìjù	N	3	телесериал
电视台	diànshìtái	N	3	телевизионная станция, телеканал
电子邮件	diànzǐyóujiàn		3	электронное письмо, электронная почта, имейл
调	diào / tiáo	V	3	регулировать; переводить; мелодия; тон
订	dìng	V	3	заказывать; бронировать; заключать
东部	dōngbù	N	3	восточная часть, восточный район; восток
动人	dòngrén	Adj	3	трогательный; волнующий
读者	dúzhě	N	3	читатель
短处	duǎnchù	N	3	недостаток, минус; порок, изъян
短裤	duǎnkù	N	3	шорты, трусы
短期	duǎnqī	N	3	короткий срок
队员	duìyuán	N	3	член команды
发出	fāchū	V	3	выпустить, издать; выдать; послать
发送	fāsòng	V	3	посылать, отправлять, препровождать
防	fáng	V	3	предотвращать; защищаться
房屋	fángwū	N	3	постройка, здание; дом; комната
房租	fángzū	N	3	квартирная плата; плата за аренду дома
放到	fàngdào		3	положить, положить на, положить в
飞行	fēixíng	V	3	летать, лётный; полёт, полётный; пилотаж
费	fèi	V/N	3	тратить; плата, расходы
分组	fēnzǔ		3	делить на группы; групповой
福	fú	N	3	счастье, благополучие; счастливый
父母	fùmǔ	N	3	отец и мать; родители
付	fù	V	3	передавать, вручать, сдавать
改造	gǎizào	V	3	изменить, преобразовать, реконструировать
赶	gǎn	V	3	спешить; догонять; гнать
赶到	gǎndào		3	настичь, догнать; поспеть
干吗	gànmá	Pron	3	зачем?, для чего?, чего ради?
高速公路	gāosùgōnglù		3	скоростное шоссе, скоростная дорога, автобан
歌迷	gēmí	N	3	поклонник певца, фанат
歌声	gēshēng	N	3	звуки песни; песня
歌手	gēshǒu	N	3	певец, исполнитель
各地	gèdì	N	3	разные места; повсюду, повсеместно
各位	gèwèi	Pron	3	все (присутствующие); господа!
各种	gèzhǒng	Pron	3	разного рода; разнообразный; различный
公共	gōnggòng	Adj	3	общий, всеобщий; общественный
公务员	gōngwùyuán	N	3	государственный служащий
共有	gòngyǒu	V	3	всего иметь(ся); общий
古	gǔ	Adj	3	древний; старинный, античный
关注	guānzhù	V	3	уделять внимание, следить
观看	guānkàn	V	3	смотреть, осматривать, наблюдать
管	guǎn	V	3	заведовать; управлять; трубка
国内	guónèi		3	внутри страны
国庆	guóqìng	N	3	национальный праздник; День образования КНР
哈哈	hāhā	Phonetic	3	ха-ха!
好好	hǎohǎo	Adj/Adv	3	хорошенько, как следует
合	hé	V	3	закрывать; соединять; подходить
红茶	hóngchá	N	3	красный чай; чёрный чай
红酒	hóngjiǔ	N	3	красное вино
后年	hòunián	N	3	через два года
华人	huárén	N	3	китаец; этнический китаец
化	huà	Suffix	3	суффикс -изация: 现代化, 绿化; превращать(ся)
现代化	xiàndàihuà	Suffix	3	модернизация; современный
话剧	huàjù	N	3	драматический спектакль; драма
环	huán	N	3	кольцо; звено; окружать
环保	huánbǎo	N/Adj	3	охрана окружающей среды; экологичный
会员	huìyuán	N	3	член, участник
活	huó	Adj/V	3	жить; живой; работа
基本上	jīběnshàng	Adv	3	в основном, главным образом, по сути
极了	jíle	Suffix	3	крайне, чрезвычайно (после прил.)
加快	jiākuài	V	3	ускорять, ускоряться; ускоренный
加强	jiāqiáng	V	3	усиливать, укреплять
价钱	jiàqián	N	3	цена
架	jià	M/N/V	3	полка; стеллаж; сч. слово для самолётов, роялей
建	jiàn	V	3	строить, сооружать, воздвигать
建成	jiànchéng		3	построить; завершить строительство
交费	jiāofèi	V	3	вносить плату, делать взнос, платный
交警	jiāojǐng	N	3	инспектор ГИБДД, сотрудник ДПС
较	jiào	Adv	3	сравнительно, относительно
解开	jiěkāi		3	распустить, ослабить, развязать
金	jīn	N	3	золото; металл; золотой
金牌	jīnpái	N	3	золотая медаль
仅	jǐn	Adv	3	только; едва-едва; едва; всего; один
仅仅	jǐnjǐn	Adv	3	только-только; едва-едва; всего лишь
进一步	jìnyībù	Adv	3	дальнейший; ещё больше, далее
近期	jìnqī	N	3	в ближайшее время, в ближайшем будущем
静	jìng	Adj/V	3	тихий; спокойный
就是	jiùshì	Conj	3	именно; даже если; вот именно
具有	jùyǒu	V	3	обладать, иметь; содержать, вмещать
剧场	jùchǎng	N	3	театр
开业	kāiyè		3	открыть дело; начать работу
看起来	kànqǐlái		3	по-видимому; на вид
看上去	kànshàngqù		3	на вид; с виду; по виду
科技	kējì	N	3	наука и техника; научно-технический
可乐	kělè	N	3	кола
空	kōng / kòng	Adj/Adv/V	3	пустой; воздух; свободное время
空儿	kòngr	N	3	свободное время; пустое место
快速	kuàisù	Adj	3	быстрый, скорый
老太太	lǎotàitai	N	3	пожилая женщина; старушка
老头儿	lǎotóur	N	3	старик
乐	lè	V	3	радоваться; радость; смеяться
里面	lǐmiàn	N	3	внутри; в доме; в помещении
力	lì	N/Suffix	3	сила; мощь; усилие
连续	liánxù	V	3	непрерывный; подряд
联合国	Liánhéguó	N	3	Организация Объединённых Наций, ООН
凉水	liángshuǐ	N	3	холодная вода; остуженный кипяток
领	lǐng	V	3	вести; получать; воротник
另一方面	lìngyīfāngmiàn		3	с другой стороны
录	lù	V	3	записывать (аудио/видео); заносить в список
路线	lùxiàn	N	3	путь, маршрут; тропа, трасса
旅馆	lǚguǎn	N	3	отель, гостиница
旅行社	lǚxíngshè	N	3	туристическое агентство, турагентство
绿茶	lǜchá	N	3	зелёный чай
慢慢	mànmàn		3	медленно, неторопливо
没用	méiyòng	V	3	никуда не годный, бесполезный, непригодный
美	měi	Adj	3	красивый, прекрасный, изящный
美好	měihǎo	Adj	3	прекрасный, лучший, чудесный; благодать
美食	měishí	N	3	вкусная еда, вкусные блюда, лакомства
美元	měiyuán	N	3	доллар
迷	mí	V	3	увлекаться; фанат; заблудиться
奶茶	nǎichá	N	3	чай с молоком
男子	nánzǐ	N	3	мужчина, муж
南部	nánbù	N	3	южная часть; юг
难度	nándù	N	3	степень трудности, сложность
内心	nèixīn	N	3	душа; внутренний мир; в глубине души
能不能	néngbunéng		3	можно или нет, возможно ли
年初	niánchū	N	3	начало года; в начале года
年底	niándǐ	N	3	конец года, последний месяц года
牛	niú	N/Adj	3	корова, бык; крутой (разг.)
女子	nǚzǐ	N	3	женщина; женский
排名	páimíng		3	рейтинг; занимать место (в списке)
牌子	páizi	N	3	вывеска; табличка; марка, бренд
配	pèi	V	3	подходить друг к другу; сочетать; подбирать
皮	pí	N	3	кожа; кожура; шкура
皮包	píbāo	N	3	портфель, сумка
票价	piàojià	N	3	цена билета, стоимость билета
期	qī	M	3	срок; период; номер (журнала)
齐	qí	Adj/V	3	ровный; полный; вместе, дружно
前后	qiánhòu	N	3	спереди и сзади; около, примерно (о времени)
前进	qiánjìn	V	3	наступать, идти вперёд; продвигаться
前往	qiánwǎng	V	3	направляться, отправляться
强	qiáng	Adj	3	сильный, мощный
强大	qiángdà	Adj	3	могучий, сильный
巧	qiǎo	Adj	3	ловкий, искусный; удачно, кстати
亲	qīn	Adj	3	родной; родители; целовать
亲人	qīnrén	N	3	родные; близкие; родной человек
情感	qínggǎn	N	3	чувство, ощущение; эмоции
区	qū	N	3	район, участок
全场	quánchǎng	N	3	все присутствующие, весь зал
全球	quánqiú	N	3	весь мир, весь земной шар, всемирный
缺	quē	V	3	недоставать; не хватать
人民	rénmín	N	3	народ; народный
人群	rénqún	N	3	толпа людей; люди, массы, простой люд
认出	rènchū		3	опознать; признать, узнать
认得	rènde	V	3	быть знакомым; признавать
任	rèn	V/Conj	3	назначать; сч. слово для сроков службы; любой
仍	réng	Adv	3	по-прежнему, как и раньше, как обычно
沙子	shāzi	N	3	песок; гравий
伤	shāng	V/N	3	рана; ранить; повредить
上来	shànglái		3	подниматься; нарастать; прибывать
上面	shàngmiàn	N	3	верх; наверху; выше; вышеуказанный
上去	shàngqù		3	подниматься, всходить
上升	shàngshēng	V	3	подниматься; расти
上衣	shàngyī	N	3	верхняя одежда, верх одежды
身份证	shēnfènzhèng	N	3	удостоверение личности; паспорт
深入	shēnrù	V/Adj	3	углубляться; глубокий
生意	shēngyi	N	3	бизнес, коммерция; сделка
生长	shēngzhǎng	V	3	расти, вырастать; рост
胜	shèng	V	3	побеждать, одолевать; выигрывать
时	shí	N	3	время; час; сезон
实际上	shíjìshàng	Adv	3	в действительности, фактически, на самом деле
实验室	shíyànshì	N	3	лаборатория
世界杯	shìjièbēi	N	3	чемпионат мира, кубок мира
事实上	shìshíshang		3	на самом деле, на деле, в действительности
试题	shìtí	N	3	экзаменационные вопросы; тема сочинения
适用	shìyòng	Adj	3	подходить, годиться; применимый
室	shì	N	3	комната; кабинет; палата
收费	shōufèi	V	3	брать плату; платный
收看	shōukàn	V	3	смотреть (телепередачу)
收听	shōutīng	V	3	слушать (радио)
受	shòu	V	3	получать; терпеть; подвергаться
熟人	shúrén	N	3	хорошо знакомый человек
属	shǔ	V	3	принадлежать, относиться; родиться в год (животного)
随	suí	V	3	следовать за; вслед за; как угодно
所长	suǒzhǎng	N	3	заведующий; директор (института, бюро)
谈话	tánhuà		3	беседовать, вести разговор; разговор
跳	tiào	V	3	прыгать, скакать; подёргиваться
跳高	tiàogāo	V	3	прыжки в высоту
跳远	tiàoyuǎn	V	3	прыжки в длину
铁	tiě	N	3	железо; чёрный металл; железный
铁路	tiělù	N	3	железная дорога; железнодорожный путь
听力	tīnglì	N	3	аудирование; слух
听众	tīngzhòng	N	3	слушатели, публика, аудитория
通信	tōngxìn		3	связь; переписываться
痛	tòng	Adj	3	боль; больно; болеть
头脑	tóunǎo	N	3	ум, голова; мозги
图	tú	N	3	рисунок; схема; карта
图画	túhuà	N	3	иллюстрация, рисунок
土	tǔ	N/Adj	3	земля, почва; местный; деревенский
推动	tuīdòng		3	продвигать; толкать вперёд
推进	tuījìn	V	3	двигать вперёд, продвигаться
推开	tuīkāi		3	открывать толчком, распахивать
退出	tuìchū	V	3	отступать из; оставлять, покидать
外面	wàimiàn	N	3	снаружи; внешняя сторона
外文	wàiwén	N	3	иностранный язык
围	wéi	V	3	окружать; охватывать; обматывать
卫生	wèishēng	Adj/N	3	гигиена; санитария; чистый
文字	wénzì	N	3	письменность, письмо, письмена, буквы
舞台	wǔtái	N	3	сцена; арена
西部	xībù	N	3	западная часть; западный район
下来	xiàlái		3	спускаться, снижаться
下面	xiàmiàn	N	3	низ, внизу, ниже; нижний, следующий
下去	xiàqù		3	спускаться, сходить
线	xiàn	N	3	нить; линия; провод; маршрут
相比	xiāngbǐ	V	3	сравнивать, сопоставлять
相互	xiānghù	Adv	3	взаимно; взаимный
心	xīn	N	3	сердце; сердечный; душа, дух
行李	xíngli	N	3	багаж, вещи
性	xìng	Suffix	3	суффикс -ость (积极性, 重要性); характер; пол
积极性	jījíxìng	N	3	активность, энтузиазм
学费	xuéfèi	N	3	плата за обучение, расходы на учёбу
压	yā	V	3	давить; подавлять; давление
烟	yān	N	3	дым; табак; сигарета
眼前	yǎnqián	N	3	перед глазами; перед собой; теперь
演	yǎn	V	3	играть (роль); исполнять; выступать
演唱	yǎnchàng	V	3	петь (на сцене), исполнять песню
演唱会	yǎnchànghuì	N	3	концерт
羊	yáng	N	3	баран, овца; коза; овечий, козий; Баран
衣架	yījià	N	3	вешалка; багажник
已	yǐ	Adv	3	уже
一方面	yīfāngmiàn	N	3	с одной стороны
银牌	yínpái	N	3	серебряная медаль
应当	yīngdāng	V	3	следует; должно; надо
影视	yǐngshì	N	3	кино и телевидение
邮件	yóujiàn	N	3	почтовое отправление
邮票	yóupiào	N	3	почтовая марка
邮箱	yóuxiāng	N	3	почтовый ящик
游	yóu	V	3	плавать; путешествовать; гулять
有的是	yǒudeshì		3	сколько угодно
有效	yǒuxiào	V	3	действенный; действительный; эффективный
预计	yùjì	V	3	заранее рассчитывать, предполагать
员	yuán	Suffix	3	суффикс: работник, член (服务员, 会员)
员工	yuángōng	N	3	сотрудники; персонал
约	yuē	V	3	договариваться; приглашать; примерно
乐队	yuèduì	N	3	музыкальная группа; оркестр
早已	zǎoyǐ	Adv	3	давно уже, уже, заранее, задолго
造	zào	V	3	строить; создавать; изготавливать
照	zhào	V/Prep	3	светить; фотографировать; согласно, по
者	zhě	Suffix	3	суффикс деятеля: 记者, 读者; тот, кто
争	zhēng	V	3	бороться; спорить; добиваться
整	zhěng	Adj/V	3	целый; ровно; приводить в порядок
整天	zhěngtiān	N	3	весь день напролёт; целыми днями
整整	zhěngzhěng	Adv	3	ровно; целых (о времени)
证	zhèng	N	3	удостоверение; свидетельство; доказывать
支付	zhīfù	V	3	платить, уплачивать; выплачивать; уплата
直到	zhídào	V	3	вплоть до; до самого
值	zhí	V	3	стоить; заслуживать; стоимость; дежурить
职工	zhígōng	N	3	персонал, кадры; рабочие и служащие
只是	zhǐshì	Adv/Conj	3	только, лишь; просто; однако
只有	zhǐyǒu	Conj	3	только (при условии); только лишь
指出	zhǐchū		3	отметить, указать, обозначить
志愿	zhìyuàn	N	3	желание; добровольный; волонтёрский
中部	zhōngbù	N	3	средняя часть, центр; центральный
中华民族	ZhōnghuáMínzú		3	китайская нация
重大	zhòngdà	Adj	3	важный, значительный; огромный
主任	zhǔrèn	N	3	заведующий; директор; руководитель
抓	zhuā	V	3	хватать; ловить; браться за
抓住	zhuāzhù		3	схватить; поймать; ухватиться
转	zhuǎn / zhuàn	V	3	поворачивать; вращаться; передавать
追	zhuī	V	3	гнаться за..., преследовать; гнать
准	zhǔn	Adj/Adv	3	точный; разрешать; наверняка
子女	zǐnǚ	N	3	сыновья и дочери, дети
自身	zìshēn	N	3	сам; собственный
总	zǒng	Adv	3	всегда; в общем; главный, генеральный
足够	zúgòu	V	3	достаточно; хватать
足球	zúqiú	N	3	футбол; футбольный; футбольный мяч
做客	zuòkè		3	гостить, быть в гостях
矮小	ǎixiǎo	Adj	4	низкий и маленький, короткий, низкорослый
爱国	àiguó		4	любить родину, быть патриотом
安	ān	V/Adj	4	спокойный; устанавливать; безопасность
巴士	bāshì	N	4	автобус
百货	bǎihuò	N	4	универмаг; товары широкого потребления
摆动	bǎidòng	V	4	качаться; раскачивать
败	bài	V	4	проиграть; потерпеть поражение
办事	bànshì		4	делать дело, вести дела
宝	bǎo	N	4	сокровище; драгоценный
宝宝	bǎobao	N	4	маленький ребёнок, младенец; малыш
宝石	bǎoshí	N	4	драгоценный камень; самоцвет
被迫	bèipò	V	4	быть вынужденным; вынужденный
比分	bǐfēn	N	4	счёт
毕业生	bìyèshēng	N	4	выпускник
避	bì	V	4	избегать; прятаться от
编	biān	V	4	составлять; сочинять; плести; редактировать
冰	bīng	N	4	лёд; ледяной, ледовый; ледовитый
冰雪	bīngxuě	N/Adj	4	лёд и снег
兵	bīng	N	4	солдат; воин, боец; рядовой
不在乎	bùzàihu	V	4	оставлять без внимания, не обращать внимания
步行	bùxíng	V	4	идти пешком; пешком; ходьба
测	cè	V	4	измерять, мерить; производить измерение
测试	cèshì	V/N	4	проверка, испытание, тест, тестирование
曾	céng	Adv	4	когда-то; в своё время; уже
茶叶	cháyè	N	4	чай; чаинка; чайный лист
唱片	chàngpiàn	N	4	пластинка; альбом (музыкальный)
抄写	chāoxiě	V	4	переписывать (от руки)
潮	cháo	N/Adj	4	прилив; влажный; мода, тренд
沉	chén	V/Adj	4	тонуть; тяжёлый; глубокий
成人	chéngrén	N	4	взрослый, совершеннолетний
诚信	chéngxìn	Adj	4	честность; добросовестность
尺	chǐ	N/M	4	линейка; чи (33 см)
尺寸	chǐcùn	N	4	размер; габариты
充电	chōngdiàn		4	заряжать (аккумулятор); подзарядка
虫子	chóngzi	N	4	насекомое, червяк
抽	chōu	V	4	вытягивать; курить; выкачивать
抽奖	chōujiǎng		4	розыгрыш призов; лотерея
出售	chūshòu	V	4	продавать, пускать в продажу, сбывать
处于	chǔyú	V	4	находиться в (состоянии, положении)
处	chù	N	4	место; пункт; отдел
穿上	chuānshang		4	одевать, надевать
窗台	chuāngtái	N	4	подоконник
窗子	chuāngzi	N	4	окно
春季	chūnjì	N	4	весенний сезон; весна; весенний
纯	chún	Adj	4	чистый, без примеси
纯净水	chúnjìngshuǐ	N	4	чистая вода
此	cǐ	Pron	4	этот; это; здесь
粗	cū	Adj	4	грубый, широкий, толстый; плотный
促销	cùxiāo	V	4	распродажа; стимулирование сбыта
打败	dǎbài	V	4	разбивать; побеждать; наносить поражение
打雷	dǎléi		4	гремит гром
大巴	dàbā	N	4	большой автобус (междугородний)
大多	dàduō	Adv	4	в большей части, более чем наполовину
大哥	dàgē	N	4	старший брат; старший (обращение)
大规模	dàguīmó		4	крупномасштабный; в большом масштабе
大会	dàhuì	N	4	собрание, митинг; съезд; пленум
大姐	dàjiě	N	4	старшая сестра; сестрица, барышня
大楼	dàlóu		4	многоэтажное здание
大陆	dàlù	N	4	материк, континент
大妈	dàmā	N	4	тётушка (старшая); тётя
大爷	dàye	N	4	дядюшка; пожилой мужчина (обращение)
大众	dàzhòng	N	4	широкие массы; массовый, народный
袋	dài	N/M	4	мешок, торба; сумка; кошелёк
单	dān	Adj/Adv	4	одиночный; простой; список; бланк
倒车	dǎochē / dàochē		4	идти задним ходом; задний ход
灯光	dēngguāng	N	4	свет лампы; искусственное освещение
登	dēng	V	4	подниматься, восходить; садиться
登山	dēngshān		4	подниматься в гору; альпинизм
地面	dìmiàn	N	4	поверхность, земля; наземный; позёмный
地下	dìxià	N	4	под землёй; подземный; почвенный
点名	diǎnmíng		4	перекличка; называть поимённо
电灯	diàndēng	N	4	электрическая лампа, электрический фонарь
电动车	diàndòngchē	N	4	электроскутер, электро-мотороллер
定	dìng	V	4	определять; устанавливать; заказывать; спокойный
冬季	dōngjì	N	4	зимний сезон, зима, зимний период
动摇	dòngyáo	V	4	колебаться; расшатывать
独自	dúzì	Adv	4	сам, в одиночку; в одиночестве; один
堵	dǔ	V	4	затыкать; пробка (на дороге); загораживать
多次	duōcì		4	многократно; не раз
多年	duōnián		4	много лет; многолетний
多样	duōyàng	Adj	4	разнообразный; многообразный
多种	duōzhǒng		4	разные виды; многообразный
而是	érshì		4	а (не…, а…)
耳机	ěrjī	N	4	наушники; головной телефон
二手	èrshǒu	Adj	4	подержанный, бывший в употреблении
法	fǎ	N	4	закон; право; норма; регламент; законный
法官	fǎguān	N	4	судья
烦	fán	Adj/V	4	надоедать; раздражённый; хлопотный
反	fǎn	Adj/V/Adv	4	обратный; против; наоборот; выступать против
肥	féi	Adj	4	толстый, жирный; упитанный, откормленный
分为	fēnwéi		4	делиться на, подразделяться на
夫妻	fūqī	N	4	муж и жена, супруги
付出	fùchū	V	4	выплачивать; выплата
感兴趣	gǎnxìngqù		4	быть заинтересованным в...
高价	gāojià	N	4	высокая цена; дорогой, ценный
高铁	gāotiě	N	4	скоростной поезд; скоростная железная дорога
隔	gé	V	4	разделять; через (промежуток); отстоять
隔开	gékāi	V	4	отделять; разделять
各个	gègè	Pron/Adv	4	каждый; все по отдельности
工程	gōngchéng	N	4	проект; инженерное дело; строительство
供应	gōngyìng	V	4	снабжать, поставлять, обеспечивать
共	gòng	Adv	4	совместно, вместе, сообща; общими силами
构造	gòuzào	N	4	строение; структура; конструкция
购买	gòumǎi	V	4	покупать, закупать, скупать
瓜	guā	N	4	дыня, тыква, арбуз; тыквенные растения
怪	guài	Adj/Adv/V	4	странный; винить; очень
归	guī	V	4	возвращаться; принадлежать
海水	hǎishuǐ	N	4	морская вода; морской
含	hán	V	4	содержать (в себе); держать во рту
含量	hánliàng	N	4	содержание
含有	hányǒu	V	4	содержать, таить; иметь
寒冷	hánlěng	Adj	4	холодный; морозный
毫升	háoshēng	M	4	миллилитр
好友	hǎoyǒu	N	4	хороший друг, близкий товарищ; френд
黑暗	hēiàn	Adj	4	тёмный; мрак; темнота
后头	hòutou	N	4	зад; позади; задний
户	hù	M	4	семья, двор; сч. слово для семей; счёт (банковский)
划	huá / huà	V	4	грести; чиркать; планировать; проводить черту
回复	huífù	V	4	отвечать (на письмо); ответ; восстанавливать
汇	huì	V	4	переводить (деньги); собирать(ся); сводить
伙	huǒ	M	4	группа; компания; сч. слово для групп людей
货	huò	N	4	товар; груз
获	huò	V	4	получать; добиваться
获奖	huòjiǎng	V	4	получить премию
获取	huòqǔ	V	4	взять, приобрести, получить
季	jì	N	4	сезон, квартал; период
既	jì	Adv/Conj	4	раз уж; поскольку; и… и…; уже
加入	jiārù	V	4	вступать, присоединяться
检测	jiǎncè	V	4	обнаруживать, выявлять, проверять и измерять
减	jiǎn	V	4	уменьшать, убавлять; снижать; сокращать
健身	jiànshēn	V	4	фитнес; заниматься спортом
渐渐	jiànjiàn	Adv	4	постепенно, мало-помалу, капля за каплей
江	jiāng	N	4	река; речной; на реке, у реки
奖	jiǎng	V/N	4	премия; награда; награждать
奖学金	jiǎngxuéjīn	N	4	стипендия
降	jiàng	V	4	опускаться, снижаться; спускаться
降价	jiàngjià		4	снижать цену; дешеветь
降温	jiàngwēn		4	похолодание; понижать температуру
结	jié	V/N	4	завязывать (узел); заключать; результат; узел
姐妹	jiěmèi	N	4	сёстры
居民	jūmín	N	4	жители, население; жильцы
局	jú	N/M	4	бюро; управление; партия (в игре); ситуация
聚	jù	V	4	собираться вместе; скапливаться
开花	kāihuā		4	цвести; расцветать
口袋	kǒudai	N	4	карман; сума, мешок, куль
口语	kǒuyǔ	N	4	разговорный язык; речь, устная речь
快递	kuàidì	N	4	быстрая доставка, срочная доставка
宽广	kuānguǎng	Adj	4	широкий, просторный
扩展	kuòzhǎn	V	4	расширять, распространять, развёртывать
括号	kuòhào	N	4	скобки; акколада, скобка
垃圾	lājī	N	4	мусор, отбросы, отходы
拉开	lākāi		4	раздвигать; открывать (ящик); увеличивать (разрыв)
老公	lǎogōng	N	4	муж (разг.)
老家	lǎojiā	N	4	родной дом; родные места, родина
老婆	lǎopo	N	4	жена
泪	lèi	N	4	слеза, слёзы
泪水	lèishuǐ	N	4	слёзы
类型	lèixíng	N	4	тип
离不开	líbukāi		4	невозможно покинуть; не оторваться
量	liáng	V	4	измерять; количество (liàng)
两边	liǎngbiān	N	4	оба конца; обе стороны; оба направления
疗养	liáoyǎng	V	4	лечиться и отдыхать (в санатории)
列	liè	V/M	4	ряд; перечислять; сч. слово для поездов
列车	lièchē	N	4	поезд; состав, эшелон
列入	lièrù	V	4	включать в (список)
列为	lièwéi		4	относить к; причислять к
楼梯	lóutī	N	4	лестница
轮	lún	N/V/M	4	колесо; колёсный; каток; обод; диск
轮椅	lúnyǐ	N	4	инвалидная коляска
轮子	lúnzi	N	4	колесо; диск
落	luò / là	V	4	падать; опадать; отставать
毛衣	máoyī	N	4	свитер; верхняя шерстяная одежда
没错	méicuò		4	верно, правильно, точно
没法儿	méifǎr	V	4	нет способа; никак нельзя
没想到	méixiǎngdào		4	неожиданно, непредвиденно; невдомёк
美金	měijīn	N	4	американский доллар; доллар США
美女	měinǚ	N	4	красавица; женщина, девушка
梦见	mèngjiàn		4	видеть во сне, сниться
密	mì	Adj	4	плотный; тайный; тесный
面试	miànshì	V	4	собеседование; проходить собеседование
描述	miáoshù	V	4	описывать; описание, характеристика
名牌儿	míngpáir	N	4	известная марка, бренд
名人	míngrén	N	4	известный человек, знаменитость
模特儿	mótèr	N	4	модель; натурщик, натурщица; натура
末	mò	N	4	конец; последний; порошок
男女	nánnǚ	N	4	мужчины и женщины
男士	nánshì	N	4	господин, мужчина
闹	nào	Adj/V	4	шуметь; шумный; устраивать (скандал)
闹钟	nàozhōng	N	4	будильник
内部	nèibù	N	4	внутри; внутренняя часть; внутренность
宁静	níngjìng	Adj	4	тихо, спокойно; спокойный
暖气	nuǎnqì	N	4	паровое отопление, центральное отопление
拍照	pāizhào		4	фотографировать
牌	pái	N	4	табличка; марка (бренд); игральные карты
盘	pán	N/M	4	тарелка; блюдо; сч. слово для блюд, партий игры
胖子	pàngzi	N	4	толстяк
培训班	péixùnbān	N	4	кружок, секция, тренинг, учебный курс
平稳	píngwěn	Adj	4	устойчивый, стабильный
期末	qīmò	N	4	конец семестра; итоговый (экзамен)
期中	qīzhōng	N	4	середина семестра; промежуточный
气球	qìqiú	N	4	воздушный шар, аэростат; баллон
汽水	qìshuǐ	N	4	газировка; лимонад
前头	qiántou	N	4	впереди; перёд; передний
亲密	qīnmì	Adj	4	близкий, тесный, интимный, сердечный
轻易	qīngyì	Adj/Adv	4	легко; с лёгкостью; необдуманно
穷人	qióngrén	N	4	бедняк; бедные люди
秋季	qiūjì	N	4	осенний сезон; осень; осенний
燃料	ránliào	N	4	горючее; топливо; горючие материалы
散	sàn / sǎn	V	4	расходиться; рассеивать(ся); рассыпной
扫	sǎo	V	4	мести, выметать; сметать, подметать
色	sè	N	4	цвет, окраска; краска; тон; оттенок
闪	shǎn	V	4	сверкать, мелькать, переливаться, отливать
伤害	shānghài	V	4	вредить; повреждать
商务	shāngwù	N	4	коммерция, коммерческие дела
赏	shǎng	V	4	любоваться; награждать; награда
上个月	shànggeyuè		4	прошлый месяц; в прошлом месяце
上楼	shànglóu		4	подниматься по лестнице; подняться
上门	shàngmén		4	приходить (на дом); наносить визит
烧	shāo	V	4	жечь; варить, тушить; температура (жар)
身高	shēngāo	N	4	рост (человека)
深厚	shēnhòu	Adj	4	глубокий (о чувствах); прочный
诗人	shīrén	N	4	поэт, стихотворец
湿	shī	Adj	4	сырой, влажный; мокрый
食堂	shítáng	N	4	столовая; буфет; кафетерий
使劲	shǐjìn		4	изо всех сил; поднажать
市区	shìqū	N	4	район города, городской район
收回	shōuhuí		4	забрать обратно; отзывать; вернуть себе
手里	shǒuli		4	в руках; при себе
守	shǒu	V	4	охранять, защищать, оборонять
首	shǒu	M/N	4	сч. слово для стихов и песен; голова; первый
